pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
025dfb3926e67a64b45a164865a737ecfc37071d11ac4846b0d59c4979c8bb08b8,367236883742720,100000000,0,0
025dfb3926e67a64b45a164865a737ecfc37071d11ac4846b0d59c4979c8bb08b8,382630046531584,2000000000,55328,1083
025dfb3926e67a64b45a164865a737ecfc37071d11ac4846b0d59c4979c8bb08b8,398023209320448,40000000,1083,55328
0321743efb2d44a9c1ff8194f03728e119bbf6cde88201b9ac8e6e48f96c99d597,398023209320448,40000000,0,3104
0321743efb2d44a9c1ff8194f03728e119bbf6cde88201b9ac8e6e48f96c99d597,396923697692672,51000000,3104,0
03eaf4f94ad680855a7818c2f156ae4a86482dea2f396320c336989ce5f49da880,404620279087104,200000000,17010,15002
03eaf4f94ad680855a7818c2f156ae4a86482dea2f396320c336989ce5f49da880,403520767459328,500000000,0,80
03eaf4f94ad680855a7818c2f156ae4a86482dea2f396320c336989ce5f49da880,402421255831552,500000000,15083,17010
024a65932bdad1c4ef070289a6dd9f71b315e61d871b38c79339d0cc3d26e100e1,338649581420544,1000000000,53663,402926
024a65932bdad1c4ef070289a6dd9f71b315e61d871b38c79339d0cc3d26e100e1,337550069792768,250000000,402926,53663
024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17,416714906992640,16770000000,0,319826
024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17,421112953503744,16770000000,319826,0
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,410117837225984,3000000000,3060903,87917
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,369435906998272,20000000000,496597,3423353
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,354042744209408,3500000000,1536074,1713390
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,366137372114944,650000000,418995,552197
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,365037860487168,1100000000,1016,83692
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,373833953509376,84803717000,519642,172618
02aeb397b7212dc1de5252684f9a1f1957d8bcc9864193b538ce78f9558685d666,360639813976064,500000000,3142611,472909
02aeb397b7212dc1de5252684f9a1f1957d8bcc9864193b538ce78f9558685d666,359540302348288,5000223000,472909,3142611
0294774ee02a9faa5a5870061f7f4833686184ad14a0b163c49442516c9edac1db,412316860481536,100000000000,0,0
03c0223a47deb4abe67071ad16f66c5c8dc38bbd5bd117589f80ba1d51eb7ddb96,367236883742720,100000000,0,1569
03c0223a47deb4abe67071ad16f66c5c8dc38bbd5bd117589f80ba1d51eb7ddb96,370535418626048,100000000,3213,24934
03c0223a47deb4abe67071ad16f66c5c8dc38bbd5bd117589f80ba1d51eb7ddb96,389227116298240,2000000000,24934,1643
02c87bce43398e73f65df561b4e776306fc1e74657d67131d76866ba617a0e63c2,407918813970432,500000000,0,0
02c87bce43398e73f65df561b4e776306fc1e74657d67131d76866ba617a0e63c2,403520767459328,500000000,0,0
