pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
02f5be5f3d54b66bf531b96f06327f59cd139f6e2c301cc0131a3f632025c2704c,372734441881600,80000000,0,0
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,406819302342656,6710669000,129565,13607
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,355142255837184,50000000000,0,36127109
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,357341279092736,10000000000,0,34793
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,399122720948224,100000000000,36174802,129067
03382704812aca55bf853b353ecd3edef7e16a9420d7beb7e7d6b6c7fe2082252a,395824186064896,1000000000,548144,3839016
03382704812aca55bf853b353ecd3edef7e16a9420d7beb7e7d6b6c7fe2082252a,379331511648256,2000000000,2078099,954929
03382704812aca55bf853b353ecd3edef7e16a9420d7beb7e7d6b6c7fe2082252a,368336395370496,3000000000,2768456,480789
03382704812aca55bf853b353ecd3edef7e16a9420d7beb7e7d6b6c7fe2082252a,371634930253824,75000000,40158,160146
02e45ec6486ad8d2b2dcfe3e994f89035f7f1975e800bfe56f030d910647601199,413416372109312,100000000,0,0
02626318f968469fb1dcd0453536bbabaab8861be75d8cde7900e57aab1bd4f3ac,339749093048320,100000000,59,1088
02626318f968469fb1dcd0453536bbabaab8861be75d8cde7900e57aab1bd4f3ac,401321744203776,50000000,1573,22530
02626318f968469fb1dcd0453536bbabaab8861be75d8cde7900e57aab1bd4f3ac,376032976764928,24639000,23331,1346
033f481fe0e9344228b58e0297162bfa8d648d5043c12b6323df5eac61bd39094c,377132488392704,700000000,1094935,11610
033f481fe0e9344228b58e0297162bfa8d648d5043c12b6323df5eac61bd39094c,354042744209408,3500000000,11610,1094935
033e8bc45cc79dabebd18507ba39b101c839240932174bff6ddf34631305881cc3,352943232581632,1620000000,30493,153291
033e8bc45cc79dabebd18507ba39b101c839240932174bff6ddf34631305881cc3,363938348859392,1000000000,298001,1015473
033e8bc45cc79dabebd18507ba39b101c839240932174bff6ddf34631305881cc3,345246651187200,1500000000,1236634,662941
033e8bc45cc79dabebd18507ba39b101c839240932174bff6ddf34631305881cc3,346346162814976,2000000000,568982,302402
03d213f4115a55f0d0ab185434fcb6d3f119fdede11e901fe57f8b91d57ed316e6,344147139559424,1000000000,0,0
021227d4be948ab84613d5dbd47b6e148cfb811432d27eb92e80d28382b1b27d27,341948116303872,250000000,5894856,33689
021227d4be948ab84613d5dbd47b6e148cfb811432d27eb92e80d28382b1b27d27,337550069792768,250000000,33689,5894856
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,400222232576000,100000000000,53609,36920870
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,399122720948224,100000000000,149586573,60876844
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,381530534903808,50000000000,39478064,515399552
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,345246651187200,1500000000,2539211,1584951
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,351843720953856,1000000000,7148718,5279730
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,377132488392704,700000000,2500353,1997724
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,369435906998272,20000000000,70301119,7015877
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,414515883737088,99995000000,31049370,2916915843
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,394724674437120,100000000000,171132414,2080697959
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,415615395364864,99995000000,5388773854,235873543
024a65932bdad1c4ef070289a6dd9f71b315e61d871b38c79339d0cc3d26e100e1,337550069792768,250000000,5934496,169944
