pubkey,scid,channel_capacity,outgoing_reputation,incoming_revenue
02a2106a4681d68080cf3d8a3b706d6925142aee0caf99302e481dbb08feabfa1a,521168511631360,7500000000,345216,868231
02a2106a4681d68080cf3d8a3b706d6925142aee0caf99302e481dbb08feabfa1a,447501232570368,5000000000,92424,341075
02a2106a4681d68080cf3d8a3b706d6925142aee0caf99302e481dbb08feabfa1a,429909046525952,5000000000,23931,8646
02a2106a4681d68080cf3d8a3b706d6925142aee0caf99302e481dbb08feabfa1a,431008558153728,4000000000,8441,32268
02a2106a4681d68080cf3d8a3b706d6925142aee0caf99302e481dbb08feabfa1a,476088534892544,2000000000,1343329,53745
02a2106a4681d68080cf3d8a3b706d6925142aee0caf99302e481dbb08feabfa1a,427710023270400,7500000000,156879,733321
02a2106a4681d68080cf3d8a3b706d6925142aee0caf99302e481dbb08feabfa1a,511272906981376,16000000000,1105494,1038218
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,358440790720512,2000000000,0,39342
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,398023209320448,5000000000,296845,304033
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,400222232576000,20200200000,1064134,84891
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,445302209314816,10000000000,27133,11996
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,551954837209088,28311000,14816,66450
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,359540302348288,2000000000,586284,68903
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,537661186048000,10000000000,0,121845
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,333152023281665,10000000000,206949,1178230
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,333152023281664,10000000000,4491534,18122
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,436506116292608,6000000000,32405,2424404
035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30,506874860470272,88888888000,44209,317966
